what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1436530937028
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1436530937028
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1436530937040
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1436530937041
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1436530937051
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1436530937051
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1436530937066
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1436530937095
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1436530937095
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1436530937124
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1436530937136
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1436530937145
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1436530937145
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1436530937160
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1436530937174
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1436530937174
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1436530937205
started,bundle,com.ibm.team.apt.common,2.3.0.v20101102_2232,"com.ibm.team.apt.common",1436530937256
started,bundle,com.ibm.team.build.ui,2.1.0.v20101105_0306,"com.ibm.team.build.ui",1436530937258
started,bundle,com.ibm.team.collaboration.rcp.core,1.1.0.v20101013_2242,"com.ibm.team.collaboration.rcp.core",1436530937259
started,bundle,com.ibm.team.collaboration.rcp.ui,1.1.0.v20101013_2242,"com.ibm.team.collaboration.rcp.ui",1436530937260
started,bundle,com.ibm.team.filesystem.cli.client,2.1.0.v20101029_1718,"com.ibm.team.filesystem.cli.client",1436530937262
